
93,16.8,2.93,1.65,0.1
48,0.37,1.35,0.89,0.23
53,0.36,1.8,0.98,0.09
45,9.8,0.94,1.55,0.11
55,7.84,1.22,1.5,0.09
33,8.54,1.18,1.56,0.08
33,7.71,0.69,1.46,0.11
39,8.02,1.37,1.44,0.12
18,0.38,1.58,1.07,0.09
54,0.23,2.48,0.85,0.21
45,0.23,1.88,0.92,0.11
40,8.58,3.92,1.51,0.08
41,0.29,3.85,1.08,0.09
36,0.32,0.46,1.03,0.1
17,0.3,1.78,1.39,0.24
15,0.3,3.48,1.27,0.12
63,1.5,3.38,1.44,0.14
64,0.3,1.82,1.41,0.17
34,1.37,5.53,2.23,0.52
46,0.68,3.52,1.55,0.33
82,0.3,2.86,1.23,0.27
21,0.53,1.45,1.22,0.14
111,0.3,16.4,1.75,0.11
161,0.3,11.7,1.72,0.11
74,0.3,0.41,1.05,0.13
58,1.38,1.27,0.92,0.27
20,0.3,1.5,1.04,0.1
45,0.3,0.35,1.24,0.15
91,10.9,8.8,1.83,0.12
60,8.27,11.8,1.67,0.08
89,8.97,3.1,1.29,0.22
100,10.5,5.7,1.99,0.43
96,11.2,3.5,1.75,0.52
77,10.3,6.3,1.72,0.2
32,1.14,5.3,1.77,0.26
42,1.61,8.9,1.67,0.11
63,2.93,6.2,1.72,0.15
90,1.31,10.7,1.46,0.11
96,1.39,3.7,2.27,2.5
45,0.78,2.6,1.39,1.3
17,0.53,3.2,1.45,0.83
79,10,16.6,1.83,0.14
49,0.56,6,0.86,0.12
67,1.07,9.89,0.45,0.11
65,1.65,1.99,1,0.08
52,0.44,0.59,1,0.06
41,1.31,0.37,1.25,0.04
45,1,1.53,1.33,0.07
53,0.75,0.48,1.13,0.11
34,1.28,2.39,1.47,0.07
30,1.21,1.16,1.29,0.06
19,0.68,0.6,1.02,0.06
53,0.33,0.98,0.88,0.06
43,0.6,0.91,0.91,0.1
43,0.89,0.94,0.93,0.09
8.9,0.27,1.86,0.33,0.06
45,0.77,1.96,0.33,0.06
33,0.52,2.21,0.81,0.06
54,0.77,3.31,1.01,0.05
49,0.67,0.62,0.84,0.06
38,0.83,2.64,1,0.08
104,1.33,3.04,1.09,0.04
90,1.04,2.04,1.15,0.06
30,0.38,1.93,0.7,0.27
33,1.18,0.58,1.45,0.09
40,1.71,2.01,1.81,0.06
32,2.82,1.99,1.78,0.06
114,9.4,7.26,2.19,0.05
121,0.86,22.2,1.87,0.05
61,1.85,16.7,1.66,0.06
76,2.26,12.9,1.95,0.05
79,1.91,12.8,2.11,0.06
71,1.96,9.98,1.99,0.05
121,10.6,15.8,2.09,0.05
91,14.7,8.32,2.35,0.06
64,1.29,2.78,1.53,0.05
41,1,0.64,1.36,0.13
39,0.46,1.17,1.33,0.15
36,0.29,0.55,0.76,0.08
105,9.91,2.48,1.9,0.07
118,11.9,3.01,2.66,0.07
118,12.4,2.67,2.4,0.07
98,10.7,3.41,2.16,0.1
32,0.94,1.58,1.73,0.06
27,0.8,0.13,1.5,0.06
36,1.23,0.71,1.62,0.05
33,0.81,4.16,1.34,0.04
41,1.08,2.26,1.48,0.04
38,0.99,0.88,1.6,0.04
78,0.23,0.4,1.22,0.08
80,0.28,1.5,1.2,0.04
503,0.3,48.1,0.78,0.07
637,0.41,86.3,0.84,0.09
9.5,1.26,0.35,0.87,0.12
87,2.04,10.3,1.2,0.11
106,1.83,17.9,1.05,0.1
93,0.89,8.52,0.98,0.1
131,2.61,0.97,1.36,0.2
52,1.66,0.27,1.02,0.1
75,2.64,2.92,1,0.1
71,2.47,1.18,0.85,0.09
69,1.62,1.09,1.1,0.1
86,1.58,4.12,1.36,0.14
65,2.69,1.63,1.2,0.11
54,1.5,2.61,0.72,0.1
85,2.54,0.93,1.2,0.14
63,1.85,0.03,1.17,0.11
57,1.35,0.18,0.5,0.14
56,3.48,3.09,0.58,0.06
67,3.17,2.94,0.81,0.06
106,2.47,2.28,0.74,0.06
92,2.43,0.9,0.8,0.06
75,1.43,1.66,1.08,0.06
88,1.37,1.03,0.97,0.08
